token	similarity
town	1.0
city	0.7950757763109775
streets	0.546355804204749
house	0.5420324004602457
capital	0.4075131447859598
family	0.3917333416676861
home	0.38459533570909304
bustling	0.3830123709013738
place	0.3685474910735898
where	0.36162334165627774
office	0.34628282194494253
offices	0.3459292235324264
crowded	0.34068962850116447
sights	0.3140033734447774
here	0.3055885056179065
train	0.30331947737546405
1900s	0.30230886721135736
morning	0.3021208410082657
walk	0.3000954542006105
